var,estimate,ci,pd,ps,bf,ess,rhat
b_hrvmeanrr_Intercept,0.93,"[-0.34, 2.21]",0.921,0.897,0.58,7262.2,1
b_hrvrmssd_Intercept,0.77,"[-0.49, 2.03]",0.886,0.853,0.45,6869.4,1
b_hrvsdnn_Intercept,0.72,"[-0.5, 1.94]",0.877,0.838,0.4,6248.4,1
b_hrvmeanrr_timePost,-1.44,"[-2.97, -0.04]",0.972,0.962,1.56,5949.8,1
b_hrvmeanrr_timePost:sexoFemale,0.56,"[-0.5, 1.57]",0.864,0.819,0.32,8939.9,1
b_hrvmeanrr_timePost:edad,-0.46,"[-1.09, 0.16]",0.927,0.873,0.31,9308.5,1
b_hrvrmssd_timePost,-1.47,"[-2.98, 0.03]",0.972,0.963,1.66,5668.7,1
b_hrvrmssd_sexoFemale,-0.3,"[-0.98, 0.39]",0.814,0.726,0.17,7832.1,1
b_hrvrmssd_edad,-0.55,"[-0.93, -0.19]",0.998,0.991,3.97,8332.3,1
b_hrvrmssd_timePost:sexoFemale,0.88,"[-0.14, 1.93]",0.95,0.93,0.72,6330.7,1
b_hrvrmssd_timePost:edad,0.3,"[-0.33, 0.94]",0.833,0.748,0.17,7354.5,1
b_hrvsdnn_timePost,-1.39,"[-2.89, 0.08]",0.967,0.956,1.41,6042.3,1
b_hrvsdnn_sexoFemale,-0.65,"[-1.24, -0.05]",0.983,0.963,0.98,8101.2,1
b_hrvsdnn_edad,-0.37,"[-0.7, -0.04]",0.986,0.951,0.67,9471.1,1
b_hrvsdnn_timePost:sexoFemale,1.19,"[0.23, 2.11]",0.992,0.986,2.94,6982.1,1
rescor__hrvmeanrr__hrvrmssd,0.37,"[-0.06, 0.73]",0.942,0.879,0.28,6329.4,1.001
rescor__hrvmeanrr__hrvsdnn,0.23,"[-0.19, 0.61]",0.845,0.721,0.13,6166.7,1.001
rescor__hrvrmssd__hrvsdnn,0.82,"[0.63, 0.94]",1,1,38.61,5275.3,1
b_hrvhf_Intercept,0.77,"[-0.58, 2.17]",0.868,0.832,0.42,6798.3,1
b_hrvlf_sexoFemale,-0.44,"[-1.31, 0.42]",0.84,0.777,0.24,8323.6,1
b_hrvlf_timePost:sexoFemale,0.74,"[-0.64, 2.06]",0.866,0.832,0.43,6988.3,1
b_hrvhf_timePost,-1.07,"[-2.73, 0.47]",0.906,0.881,0.64,6429.2,1
b_hrvhf_sexoFemale,-0.42,"[-1.32, 0.45]",0.83,0.767,0.24,8788.5,1
b_hrvhf_edad,-0.3,"[-0.82, 0.2]",0.885,0.791,0.17,7818.1,1
b_hrvhf_timePost:sexoFemale,0.69,"[-0.61, 1.96]",0.858,0.821,0.39,8505.9,1
rescor__hrvvlf__hrvlf,0.54,"[0.2, 0.81]",0.995,0.984,2.23,6108.3,1
rescor__hrvvlf__hrvhf,0.31,"[-0.09, 0.67]",0.93,0.843,0.21,6088.8,1
rescor__hrvlf__hrvhf,0.48,"[0.12, 0.78]",0.987,0.967,1.21,6885,1
b_hrvpns_Intercept,1,"[-0.2, 2.18]",0.949,0.929,0.77,5395.2,1
b_hrvsns_Intercept,-0.82,"[-2.04, 0.39]",0.904,0.872,0.48,5540.8,1
b_hrvstress_Intercept,-0.71,"[-1.96, 0.57]",0.868,0.836,0.43,6404.6,1
b_hrvpns_timePost,-2.05,"[-3.44, -0.63]",0.997,0.996,10.52,5416.9,1
b_hrvpns_edad,-0.3,"[-0.6, -0.02]",0.979,0.917,0.42,8010.3,1
b_hrvpns_timePost:sexoFemale,1.05,"[0.22, 1.88]",0.992,0.986,2.84,6758.1,1
b_hrvsns_timePost,1.93,"[0.51, 3.41]",0.994,0.993,7.13,5296.6,1
b_hrvsns_edad,0.18,"[-0.12, 0.47]",0.883,0.703,0.1,5921.2,1
b_hrvsns_timePost:sexoFemale,-1.25,"[-2.15, -0.38]",0.995,0.993,5.75,5176.9,1
b_hrvstress_timePost,1.6,"[0.05, 3.1]",0.979,0.973,2.23,5845.1,1
b_hrvstress_edad,0.23,"[-0.14, 0.61]",0.889,0.753,0.14,6632.5,1
b_hrvstress_timePost:sexoFemale,-1.05,"[-2.12, 0.1]",0.967,0.952,1.05,6212.9,1
rescor__hrvpns__hrvsns,-0.7,"[-0.88, -0.47]",1,1,4259.59,6407.8,1
rescor__hrvpns__hrvstress,-0.39,"[-0.69, -0.03]",0.976,0.936,0.5,5562.1,1
rescor__hrvsns__hrvstress,0.9,"[0.79, 0.96]",1,1,1676.17,5767.5,1
